"Original Line","Latitude","Longitude","StandardCivicNumber","StandardAddress","StandardCity","StandardStateorProvinceAbbrv","PostalZip","Confidence"
"3ebb3188-24f1-43a3-8a44-276440fc3595,Preystra�e 8, 22303 Hamburg, Germany","53.58223","10.01261","8","PREYSTRASSE","Hamburg","DE, DE","","0.5"
"08e78a6f-4733-41f8-9d5c-c759d17126e5,In der Hiel 14a, 54518 Gladbach, Germany","49.93474","6.77256","","In Der Hiel","Gladbach","DE","","0.3"
"888975f7-98c1-49a9-900e-45335837bbd0,Marktplatz 6, 66424 HOMBURG, Germany","49.32145","7.34055","6","Marktplatz","Homburg","DE, DE","66424","0.5"
"c41d5c8d-6c7f-4aa2-827d-b2790e9ec5e3,Pabststrasse 12, 99423 Weimar, Germany","50.97920","11.32488","","","Weimar","DE","","0.0666666666666667"
"e82663b1-b598-4f28-8e57-9bebad1ed3b2,Arminiusstr. 2-4, 10551 Berlin, Germany","52.52747","13.33854","2","ARMINIUSSTRASSE","Berlin","DE","10551","0.3"
"f6e92218-2111-4309-93b7-859aa3408a4f,Meyerstr. 22, 27404 Zeven, Germany","53.29676","9.27474","22","Meyerstraße","Zeven","DE, DE","27404","0.3"
"fef071bb-b100-414a-bb02-4e0848d4db9a,Haffstra�e 33, 17419 Dargen, Germany","53.88558","14.06435","19","Haffstrasse","Dargen","DE","17419","0.6"
"b175013a-2947-4c15-b0ea-472a6ec94ed1,Alexanderstr. 6, 58097 Hagen, Germany","51.34174","7.48555","","Hagen","Hagen","DE","","0.25"
"813d762d-df6e-457b-ae4b-80b5591f22d5,Kornblumenweg 2, 27404 Heeslingen, Germany","53.31758","9.34753","","Kornblumenweg","Heeslingen","DE","","0.25"
"4f295226-19d4-4383-9f19-cd52cb91da10,Hermannstrasse 2, 28857 Syke, Germany","52.91358","8.82874","","Hermannstrasse","Syke","DE","","0.25"
"7ada9684-7b74-42f9-9a59-ae4f9377618b,Burgstr. 3, 49808 Lingen, Germany","52.52216","7.31785","3","Burgstraße","Lingen","DE, DE","49808","0.3"
"7ed2eb9b-9ec1-4775-a042-5e7a7805a94f,Sch�llbach 1-5, 37308 Heilbad Heiligenstadt, Germany","51.37702","10.13436","","Schollbach","Heilbad Heiligenstadt","DE","37308","0.35"
"e9662255-d5c2-424b-a553-c938d9675697,Germaniastr. 13, 34119 Kassel, Germany","51.3142","9.46937","13","Germaniastraße","Kassel","DE, DE","34119","0.4"
"2f298b3d-4622-4163-9934-bb76f8612d5e,Taschenmacherstra�e 1-3, 23556 L�beck, Germany","53.86738","10.61207","","Taschenmacherstrasse","Lübeck","DE","","0.25"
